tk,pt
2400,1.00E+03
2400,3.00E+03
2450,1.00E-06
2450,3.00E-06
2450,1.00E-05
2450,3.00E-05
2450,1.00E-04
2450,3.00E-04
2450,1.00E-03
2450,3.00E-03
2450,1.00E-02
2450,3.00E-02
2450,1.00E-01
2450,3.00E-01
2450,1.00E+00
2450,3.00E+00
2450,1.00E+01
2450,3.00E+01
2450,1.00E+02
2450,3.00E+02
2450,1.00E+03
2450,3.00E+03
2500,1.00E-06
2500,3.00E-06
2500,1.00E-05
2500,3.00E-05
2500,1.00E-04
2500,3.00E-04
2500,1.00E-03
2500,3.00E-03
2500,1.00E-02
2500,3.00E-02
2500,1.00E-01
2500,3.00E-01
2500,1.00E+00
2500,3.00E+00
2500,1.00E+01
2500,3.00E+01
2500,1.00E+02
2500,3.00E+02
2500,1.00E+03
2500,3.00E+03
2600,1.00E-06
2600,3.00E-06
2600,1.00E-05
2600,3.00E-05
2600,1.00E-04
2600,3.00E-04
2600,1.00E-03
2600,3.00E-03
2600,1.00E-02
2600,3.00E-02
2600,1.00E-01
2600,3.00E-01
2600,1.00E+00
2600,3.00E+00
2600,1.00E+01
2600,3.00E+01
2600,1.00E+02
2600,3.00E+02
2600,1.00E+03
2600,3.00E+03
2700,1.00E-06
2700,3.00E-06
2700,1.00E-05
2700,3.00E-05
2700,1.00E-04
2700,3.00E-04
2700,1.00E-03
2700,3.00E-03
2700,1.00E-02
2700,3.00E-02
2700,1.00E-01
2700,3.00E-01
2700,1.00E+00
2700,3.00E+00
2700,1.00E+01
2700,3.00E+01
2700,1.00E+02
2700,3.00E+02
2700,1.00E+03
2700,3.00E+03
2800,1.00E-06
2800,3.00E-06
2800,1.00E-05
2800,3.00E-05
2800,1.00E-04
2800,3.00E-04
2800,1.00E-03
2800,3.00E-03
2800,1.00E-02
2800,3.00E-02
2800,1.00E-01
2800,3.00E-01
2800,1.00E+00
2800,3.00E+00
2800,1.00E+01
2800,3.00E+01
2800,1.00E+02
2800,3.00E+02
2800,1.00E+03
2800,3.00E+03
2900,1.00E-06
2900,3.00E-06
2900,1.00E-05
2900,3.00E-05
2900,1.00E-04
2900,3.00E-04
2900,1.00E-03
2900,3.00E-03
2900,1.00E-02
2900,3.00E-02
2900,1.00E-01
2900,3.00E-01
2900,1.00E+00
2900,3.00E+00
2900,1.00E+01
2900,3.00E+01
2900,1.00E+02
2900,3.00E+02
2900,1.00E+03
2900,3.00E+03
3000,1.00E-06
3000,3.00E-06
3000,1.00E-05
3000,3.00E-05
3000,1.00E-04
3000,3.00E-04
3000,1.00E-03
3000,3.00E-03
3000,1.00E-02
3000,3.00E-02
3000,1.00E-01
3000,3.00E-01
3000,1.00E+00
3000,3.00E+00
3000,1.00E+01
3000,3.00E+01
3000,1.00E+02
3000,3.00E+02
3000,1.00E+03
3000,3.00E+03
3100,1.00E-06
3100,3.00E-06
3100,1.00E-05
3100,3.00E-05
3100,1.00E-04
3100,3.00E-04
3100,1.00E-03
3100,3.00E-03
3100,1.00E-02
3100,3.00E-02
3100,1.00E-01
3100,3.00E-01
3100,1.00E+00
3100,3.00E+00
3100,1.00E+01
3100,3.00E+01
3100,1.00E+02
3100,3.00E+02
3100,1.00E+03
3100,3.00E+03
3200,1.00E-06
3200,3.00E-06
3200,1.00E-05
3200,3.00E-05
3200,1.00E-04
3200,3.00E-04
3200,1.00E-03
3200,3.00E-03
3200,1.00E-02
3200,3.00E-02
3200,1.00E-01
3200,3.00E-01
3200,1.00E+00
3200,3.00E+00
3200,1.00E+01
3200,3.00E+01
3200,1.00E+02
3200,3.00E+02
3200,1.00E+03
3200,3.00E+03
3250,1.00E-06
3250,3.00E-06
3250,1.00E-05
3250,3.00E-05
3250,1.00E-04
3250,3.00E-04
3250,1.00E-03
3250,3.00E-03
3250,1.00E-02
3250,3.00E-02
3250,1.00E-01
3250,3.00E-01
3250,1.00E+00
3250,3.00E+00
3250,1.00E+01
3250,3.00E+01
3250,1.00E+02
3250,3.00E+02
3250,1.00E+03
3250,3.00E+03
3300,1.00E-06
3300,3.00E-06
3300,1.00E-05
3300,3.00E-05
3300,1.00E-04
3300,3.00E-04
3300,1.00E-03
3300,3.00E-03
3300,1.00E-02
3300,3.00E-02
3300,1.00E-01
3300,3.00E-01
3300,1.00E+00
3300,3.00E+00
3300,1.00E+01
3300,3.00E+01
3300,1.00E+02
3300,3.00E+02
3300,1.00E+03
3300,3.00E+03
3400,1.00E-06
3400,3.00E-06
3400,1.00E-05
3400,3.00E-05
3400,1.00E-04
3400,3.00E-04
3400,1.00E-03
3400,3.00E-03
3400,1.00E-02
3400,3.00E-02
3400,1.00E-01
3400,3.00E-01
3400,1.00E+00
3400,3.00E+00
3400,1.00E+01
3400,3.00E+01
3400,1.00E+02
3400,3.00E+02
3400,1.00E+03
3400,3.00E+03
3500,1.00E-06
3500,3.00E-06
3500,1.00E-05
3500,3.00E-05
3500,1.00E-04
3500,3.00E-04
3500,1.00E-03
3500,3.00E-03
